City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
179,tinajo,29.0788,-13.7081,20.49,78,20,4.63,ES,2024-09-15 04:28:14
180,sartana,47.1744,37.6927,18.71,43,0,9.05,UA,2024-09-15 04:28:15
181,griffith,41.5284,-87.4237,23.92,63,0,3.6,US,2024-09-15 04:28:16
182,san juan colorado,16.4586,-97.9536,23.47,95,100,0.54,MX,2024-09-15 04:28:17
183,chaozhou,23.6651,116.6379,29.92,57,63,1.4,CN,2024-09-15 04:28:20
184,nar'yan-mar,67.6713,53.087,17.09,75,91,4.19,RU,2024-09-15 04:28:21
185,san isidro de curuguaty,-24.5167,-55.7,18.37,77,100,0.92,PY,2024-09-15 04:28:22
186,mabaruma,8.2,-59.7833,24.22,95,51,0.41,GY,2024-09-15 04:28:23
187,flying fish cove,-10.4217,105.6791,26.82,83,75,5.66,CX,2024-09-15 04:28:25
188,balakhta,55.38,91.6,5.44,75,100,3.38,RU,2024-09-15 04:28:26
189,gevgelija,41.1392,22.5025,14.46,54,2,1.75,MK,2024-09-15 04:28:27
190,bandipura,34.4167,74.65,22.28,43,2,2.51,IN,2024-09-15 04:28:29
191,uturoa,-16.7333,-151.4333,26.64,76,0,3.65,PF,2024-09-15 04:28:30
192,bilibino,68.0546,166.4372,7.17,73,100,0.14,RU,2024-09-15 04:28:31
193,ulladulla,-35.35,150.4667,14.03,49,24,10.62,AU,2024-09-15 04:28:32
194,taroa,8.7058,171.2275,28.14,78,98,5.9,MH,2024-09-15 04:28:33
195,whitecourt,54.1502,-115.6855,10.58,81,75,1.03,CA,2024-09-15 04:28:34
196,san fernando,15.0286,120.6898,30.85,71,100,3.03,PH,2024-09-15 04:28:35
197,muisne,0.6,-80.0333,24.11,83,94,3.42,EC,2024-09-15 04:28:36
198,ghadamis,30.1337,9.5007,28.16,46,49,2.25,LY,2024-09-15 04:28:37
199,halstead,51.328,0.1327,10.1,84,35,1.93,GB,2024-09-15 04:28:38
200,tabou,4.423,-7.3528,23.7,84,100,4.6,CI,2024-09-15 04:28:40
201,damavand,35.7178,52.065,15.03,62,52,0.8,IR,2024-09-15 04:28:41
